url	game_start_time	home_team_name	home_team_score	visitor_team_name	visitor_team_score	overtime
/boxscores/201311200NOP.html	8:00 pm	New Orleans Pelicans		Utah Jazz		
/boxscores/201311200NYK.html	7:00 pm	New York Knicks		Indiana Pacers		
/boxscores/201311200ORL.html	7:00 pm	Orlando Magic		Miami Heat		
/boxscores/201311200PHI.html	7:00 pm	Philadelphia 76ers		Toronto Raptors		
/boxscores/201311200PHO.html	9:00 pm	Phoenix Suns		Sacramento Kings		
/boxscores/201311200SAS.html	8:30 pm	San Antonio Spurs		Boston Celtics		
/boxscores/201311210DEN.html	10:30 pm	Denver Nuggets		Chicago Bulls		
/boxscores/201311210OKC.html	8:00 pm	Oklahoma City Thunder		Los Angeles Clippers		
/boxscores/201311220BOS.html	7:30 pm	Boston Celtics		Indiana Pacers		
/boxscores/201311220CHA.html	7:00 pm	Charlotte Bobcats		Phoenix Suns		
/boxscores/201311220DAL.html	8:30 pm	Dallas Mavericks		Utah Jazz		
/boxscores/201311220DET.html	7:30 pm	Detroit Pistons		Atlanta Hawks		
/boxscores/201311220LAL.html	10:30 pm	Los Angeles Lakers		Golden State Warriors		
/boxscores/201311220MEM.html	8:00 pm	Memphis Grizzlies		San Antonio Spurs		
/boxscores/201311220MIN.html	8:00 pm	Minnesota Timberwolves		Brooklyn Nets		
/boxscores/201311220NOP.html	8:00 pm	New Orleans Pelicans		Cleveland Cavaliers		
/boxscores/201311220PHI.html	7:00 pm	Philadelphia 76ers		Milwaukee Bucks		
/boxscores/201311220POR.html	10:00 pm	Portland Trail Blazers		Chicago Bulls		
/boxscores/201311220TOR.html	7:00 pm	Toronto Raptors		Washington Wizards		
/boxscores/201311230ATL.html	7:30 pm	Atlanta Hawks		Boston Celtics		
/boxscores/201311230DEN.html	9:00 pm	Denver Nuggets		Dallas Mavericks		
/boxscores/201311230GSW.html	10:30 pm	Golden State Warriors		Portland Trail Blazers		
/boxscores/201311230HOU.html	8:00 pm	Houston Rockets		Minnesota Timberwolves		
/boxscores/201311230IND.html	7:00 pm	Indiana Pacers		Philadelphia 76ers		
/boxscores/201311230LAC.html	3:30 pm	Los Angeles Clippers		Sacramento Kings		
/boxscores/201311230MIA.html	7:30 pm	Miami Heat		Orlando Magic		
/boxscores/201311230MIL.html	8:30 pm	Milwaukee Bucks		Charlotte Bobcats		
/boxscores/201311230SAS.html	8:30 pm	San Antonio Spurs		Cleveland Cavaliers		
/boxscores/201311230WAS.html	7:00 pm	Washington Wizards		New York Knicks		
/boxscores/201311240BRK.html	2:00 pm	Brooklyn Nets		Detroit Pistons		
/boxscores/201311240LAC.html	3:30 pm	Los Angeles Clippers		Chicago Bulls		
/boxscores/201311240LAL.html	9:30 pm	Los Angeles Lakers		Sacramento Kings		
/boxscores/201311240OKC.html	7:00 pm	Oklahoma City Thunder		Utah Jazz		
/boxscores/201311240ORL.html	6:00 pm	Orlando Magic		Phoenix Suns		
/boxscores/201311250CHA.html	7:00 pm	Charlotte Bobcats		Boston Celtics		
/boxscores/201311250DAL.html	8:30 pm	Dallas Mavericks		Denver Nuggets		
/boxscores/201311250DET.html	7:30 pm	Detroit Pistons		Milwaukee Bucks		
/boxscores/201311250IND.html	7:00 pm	Indiana Pacers		Minnesota Timberwolves		
/boxscores/201311250MEM.html	8:00 pm	Memphis Grizzlies		Houston Rockets		
/boxscores/201311250MIA.html	7:30 pm	Miami Heat		Phoenix Suns		
/boxscores/201311250POR.html	10:00 pm	Portland Trail Blazers		New York Knicks		
/boxscores/201311250SAS.html	8:30 pm	San Antonio Spurs		New Orleans Pelicans		
/boxscores/201311250UTA.html	9:00 pm	Utah Jazz		Chicago Bulls		
/boxscores/201311260ATL.html	7:30 pm	Atlanta Hawks		Orlando Magic		
/boxscores/201311260NOP.html	8:00 pm	New Orleans Pelicans		Golden State Warriors		
/boxscores/201311260TOR.html	7:00 pm	Toronto Raptors		Brooklyn Nets		
/boxscores/201311260WAS.html	7:00 pm	Washington Wizards		Los Angeles Lakers		
/boxscores/201311270BOS.html	7:30 pm	Boston Celtics		Memphis Grizzlies		
/boxscores/201311270BRK.html	7:30 pm	Brooklyn Nets		Los Angeles Lakers		
/boxscores/201311270CHA.html	7:00 pm	Charlotte Bobcats		Indiana Pacers		
/boxscores/201311270CLE.html	7:30 pm	Cleveland Cavaliers		Miami Heat		
/boxscores/201311270DAL.html	8:30 pm	Dallas Mavericks		Golden State Warriors		
/boxscores/201311270DET.html	7:30 pm	Detroit Pistons		Chicago Bulls		
/boxscores/201311270HOU.html	8:00 pm	Houston Rockets		Atlanta Hawks		
/boxscores/201311270LAC.html	10:30 pm	Los Angeles Clippers		New York Knicks		
/boxscores/201311270MIL.html	8:00 pm	Milwaukee Bucks		Washington Wizards		
/boxscores/201311270MIN.html	8:00 pm	Minnesota Timberwolves		Denver Nuggets		
/boxscores/201311270OKC.html	8:00 pm	Oklahoma City Thunder		San Antonio Spurs		
/boxscores/201311270ORL.html	7:00 pm	Orlando Magic		Philadelphia 76ers		
/boxscores/201311270PHO.html	9:00 pm	Phoenix Suns		Portland Trail Blazers		
/boxscores/201311290ATL.html	7:30 pm	Atlanta Hawks		Dallas Mavericks		
/boxscores/201311290BOS.html	7:30 pm	Boston Celtics		Cleveland Cavaliers		
/boxscores/201311290CHA.html	7:00 pm	Charlotte Bobcats		Milwaukee Bucks		
/boxscores/201311290DEN.html	9:00 pm	Denver Nuggets		New York Knicks		
/boxscores/201311290DET.html	7:30 pm	Detroit Pistons		Los Angeles Lakers		
/boxscores/201311290HOU.html	8:00 pm	Houston Rockets		Brooklyn Nets		
/boxscores/201311290IND.html	8:00 pm	Indiana Pacers		Washington Wizards		
/boxscores/201311290OKC.html	8:00 pm	Oklahoma City Thunder		Golden State Warriors		
/boxscores/201311290ORL.html	7:00 pm	Orlando Magic		San Antonio Spurs		
/boxscores/201311290PHI.html	8:00 pm	Philadelphia 76ers		New Orleans Pelicans		
/boxscores/201311290SAC.html	10:00 pm	Sacramento Kings		Los Angeles Clippers		
/boxscores/201311290TOR.html	7:00 pm	Toronto Raptors		Miami Heat		
/boxscores/201311290UTA.html	9:00 pm	Utah Jazz		Phoenix Suns		
/boxscores/201311300CLE.html	7:30 pm	Cleveland Cavaliers		Chicago Bulls		
/boxscores/201311300DAL.html	8:30 pm	Dallas Mavericks		Minnesota Timberwolves		
/boxscores/201311300MEM.html	8:00 pm	Memphis Grizzlies		Brooklyn Nets		
/boxscores/201311300MIL.html	9:00 pm	Milwaukee Bucks		Boston Celtics		
/boxscores/201311300PHO.html	9:00 pm	Phoenix Suns		Utah Jazz		
/boxscores/201311300SAS.html	8:30 pm	San Antonio Spurs		Houston Rockets		
/boxscores/201311300WAS.html	7:00 pm	Washington Wizards		Atlanta Hawks		
/boxscores/201312010DET.html	3:30 pm	Detroit Pistons		Philadelphia 76ers		
/boxscores/201312010LAC.html	3:30 pm	Los Angeles Clippers		Indiana Pacers		
/boxscores/201312010LAL.html	9:30 pm	Los Angeles Lakers		Portland Trail Blazers		
